DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2020-03,3.3,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2020-04,1.5,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2020-05,1.5,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2020-06,2.2,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2020-07,1.9,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2020-08,2.7,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2020-09,2.8,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2020-10,3.8,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2020-11,3.2,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2020-12,4.0,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2021-01,4.0,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2021-02,3.6,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2021-03,4.8,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2021-04,4.1,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2021-05,3.3,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2021-06,3.2,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2021-07,3.0,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2021-08,2.5,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2021-09,3.5,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2021-10,3.5,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2021-11,2.5,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2021-12,3.8,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2022-01,3.9,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2022-02,4.7,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2022-03,6.7,
ESTAT:PRC_IPC_G20(1.0),17/03/23 11:00:00,M,RCH_M,AR,2022-04,6.0,
